Energy (eV),Spectrum (Gw/sr/eV),Time (ns)
939.799899949975,0.00634178354292293,3
942.286143071536,0.00626760213444806,3
944.772386193097,0.00617564951142975,3
947.258629314657,0.00606723324227967,3
949.744872436218,0.00594366089540946,3
952.231115557779,0.0058062400392308,3
954.71735867934,0.00565627824215532,3
957.203601800901,0.00549508307259469,3
959.689844922461,0.00532396209896057,3
962.176088044022,0.0051442228896646,3
964.662331165583,0.00495717301311845,3
967.148574287144,0.00476412003773377,3
969.634817408704,0.00456637153192222,3
972.121060530265,0.00436523506409545,3
974.607303651826,0.00416201820266512,3
977.093546773387,0.0039580285160429,3
979.579789894948,0.00375457357264042,3
982.066033016508,0.00355296094086935,3
984.552276138069,0.00335449818914134,3
987.03851925963,0.00316049288586806,3
989.524762381191,0.00297225259946116,3
992.011005502752,0.00279108489833229,3
994.497248624312,0.00261829735089311,3
996.983491745873,0.00245519752555527,3
999.469734867434,0.00230309299073044,3
1001.95597798899,0.00216329131483026,3
1004.44222111056,0.0020371000662664,3
1006.92846423212,0.00192582681345051,3
1009.41470735368,0.00183077912479424,3
1011.90095047524,0.00175326456870926,3
1014.3871935968,0.00169459071360721,3
1016.87343671836,0.00165606512789977,3
1019.35967983992,0.00163899537999857,3
1021.84592296148,0.00163855585270108,3
1024.33216608304,0.00164000069599065,3
1026.8184092046,0.00164258570645106,3
1029.30465232616,0.00164628998942583,3
1031.79089544772,0.00165109265025847,3
1034.27713856928,0.0016569727942925,3
1036.76338169085,0.00166390952687142,3
1039.24962481241,0.00167188195333876,3
1041.73586793397,0.00168086917903802,3
1044.22211105553,0.00169085030931272,3
1046.70835417709,0.00170180444950638,3
1049.19459729865,0.0017137107049625,3
1051.68084042021,0.0017265481810246,3
1054.16708354177,0.0017402959830362,3
1056.65332666333,0.0017549332163408,3
1059.13956978489,0.00177043898628192,3
1061.62581290645,0.00178679239820308,3
1064.11205602801,0.00180397255744779,3
1066.59829914957,0.00182195856935956,3
1069.08454227114,0.00184072953928191,3
1071.5707853927,0.00186026457255835,3
1074.05702851426,0.00188054277453239,3
1076.54327163582,0.00190154325054754,3
1079.02951475738,0.00192324510594733,3
1081.51575787894,0.00194562744607526,3
1084.0020010005,0.00196866937627485,3
1086.48824412206,0.00199235000188961,3
1088.97448724362,0.00201664842826306,3
1091.46073036518,0.00204154376073871,3
1093.94697348674,0.00206701510466007,3
1096.4332166083,0.00209304156537065,3
1098.91945972987,0.00211960224821397,3
1101.40570285143,0.00214667625853355,3
1103.89194597299,0.0021742427016729,3
1106.37818909455,0.00220228068297553,3
1108.86443221611,0.00223076930778495,3
1111.35067533767,0.00225968768144468,3
1113.83691845923,0.00228901490929823,3
1116.32316158079,0.00231873009668912,3
1118.80940470235,0.00234881234896086,3
1121.29564782391,0.00237924077145696,3
1123.78189094547,0.00240999446952094,3
1126.26813406703,0.00244105254849631,3
1128.75437718859,0.00247239411372658,3
